AIM Indicator,terradat_name,Land Health Standard and/or Management Question,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bare ground (%),BareSoilCover,LHA Standard 1:  Bare ground does not exceed adequate amounts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foliar cover (%),TotalFoliarCover,LHA Standard 1: and plant foliar cover is adequate to protect soils. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of canopy gaps (%) > 25 cm,GapCover_25_plus,LHA Standard 1: are canopy and ground cover adequate. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of canopy gaps (%) 101 cm to 200 cm ,GapCover_101_200,LHA Standard 1:  are canopy and ground cover adequate. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of anopy gaps (%) > 200cm ,GapCover_200_plus,LHA Standard 1: are canopy and ground cover adequate. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Between Canopy Herbaceous and Woody Litter Cover (%),FH_WoodyAndHerbLitterCover,LHA Standard 1: Is litter accumulating in place and not sorted by normal overland water flow?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-invasive Perennial Forb Cover (%),AH_NonNoxPerenForbCover,LHA Standard 3: Are native plant communities spatially distributed across the landscape with a composition and frequency of species suitable to ensure reproductive capability and sustainability?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perennial Forb Height (cm),Hgt_PerenForb_Avg,,"I don't think we need this one, but thought I'd put it in just in case y'all felt differently.  There is no non-invasive rating in the terradat. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-invasive Perennial Grass Cover (%),AH_NonNoxPerenGrassCover,LHA Standard 3: Are native plant communities spatially distributed across the landscape with a composition and frequency of species suitable to ensure reproductive capability and sustainability?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-invasive Perennial Grass Height (cm),Hgt_NonNoxPerenGrass_Avg,LHA Standard 3: Are native plant communities spatially distributed across the landscape with a composition and frequency of species suitable to ensure reproductive capability and sustainability?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-invasive Tree Cover (%),AH_NonNoxTreeCover,LHA Standard 3: Are native plant communities spatially distributed across the landscape with a composition and frequency of species suitable to ensure reproductive capability and sustainability?,Something weird is happneing in the calculations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invasive Annual Grass Cover (%),AH_NoxAnnGrassCover,LHA Standard 3: Are noxious weeds and undesirable species minimal in the overall plant community?,Need to make sure this includes Cheatgrass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invasive Plant Cover (%),AH_NoxCover,LHA Standard 3: Are noxious weeds and undesirable species minimal in the overall plant community?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of Invasive Plant Species (n),NumSpp_NoxPlant,LHA Standard 3: Are noxious weeds and undesirable species minimal in the overall plant community?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagebrush Cover (%),AH_SagebrushCover,LHA Standard 3: Are noxious weeds and undesirable species minimal in the overall plant community?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Sagebrush Height (cm),Hgt_Sagebrush_Avg,LHA Standard 3: Are plants present in mixed age classes sufficient to sustain recruitment and mortality fluctuations?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Sagebrush Cover (% of total sagebrush cover),pct_sagebrush_dead,LHA Standard 3: Are plants present in mixed age classes sufficient to sustain recruitment and mortality fluctuations?,This is computed: (AH_SagebrushCover-AH_SagebrushCover_Live)/AH_SagebrushCover)*100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protected Surface Soil Stability Rating,SoilStability_Protected,"LHA Standard 1: Do upland soils exhibit infiltration and permeability rates that are appropriate to soil type, climate, landform, and geological processes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unprotected Surface Soil Stability Rating,SoilStability_Unprotected,"LHA Standard 1: Do upland soils exhibit infiltration and permeability rates that are appropriate to soil type, climate, landform, and geological processes?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Browse (NEED TO FIGURE THIS OUT),,,I think our method will determine our benchmark.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagebrush Shape,,LHA Standard 3: Are plants present in mixed age classes sufficient to sustain recruitment and mortality fluctuations?,Still need to calculate this. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acres of ESG in,approx_acres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
